Посоветуйте хорошие фильмы
Английский пациент
Начало Нолана
1 плюс 1
5 элемент
Мама Мия
Высотка
Too big to fail
Зеленая миля
Аманат
Начало
Восточный ветер
Ходячий замок
1 плюс 1
Начни сначала
Остров проклятых
Игра на понижения ( The big short )
Интерстеллар
По соображениям совести
Искатель воды
Полет над гнездом кукушки
Адвокат дьявола
1 плюс 1
Облачный атлас
Сериал За гранью
Пираты Карибского моря
ПИРАМММИДА
Афера Томаса Крауна
операция ы
Хоббит
Время первых
Начало
1 плюс 1
Области тьмы
Превосходство
Зелёная миля
Звездный путь.
1 плюс 1
1 плюс 1
Джон Картер
Господин никто
V значит вендетта
Солярис
альманах Черное зеркало
крестный отец
В погоне за счастьем
1 плюс 1
Все фильмы Гильермо дель Торо
Капернаум
Любовь и голуби
Гудбай Ленин
Крёстный отец
Исчезнувшая
Боевой конь
Семь
Телепорт
Унабомбер
Первобытный страх
И в печали
Основатель (2021)
Пеликан
Зеленая миля
Великий диктатор
Шпионский мост
Форсажи
Все путем
Дорогой Эдисон
Так сразу и не вспомню.
Зелёная миля
Интерстеллар
Волк с Уолл-стрит
По соображениям совести
Платформа
Ход королевы
Зелёная книга
1 плюс 1
Они сражались за Родину
Нулевой пациент
Розенкранц и Гильденстерн мертвы
1 плюс 1
Начало
Война и мир (Зарубежного формата)
Волк с Уолл- стрит
Властелин колей
Столетний старик
Побег из Шоушенка(1994)
Черное зеркало
Дневник памяти
Marvel
Стена с участием группы Пинк Флойд.
Не припомню ничего интересного
Полет над гнездом кукушки
Поллианна
Бойцовский клуб
Хоббит
Больше читаю
Игра в иммитацию
Берегись автомобиля
Вторая жизнь Уве
Перл Харлбор
Москва слезам не верит
Интерстеллар
Унесённые ветром
Начало
Служили два товарища
Интерстеллар
Солнечный удар Михалкоыа
Джентльмены
залечь на дно в Брюгге
Ешь молись люби
Величайший шоумен
Двадцать одно
Зелёная миля
Невидимый гость
Up in the Air
Затерянный город
Сноуден 2016 г.
Форд против Феррари
человек-слон
Облачный атлас
Меланхолия Л. фон Триера
Звездные войны
век Адалин
Остров проклятых
Дневник памяти
Родители 1989г.
Бэтмен с Кристианом Бэйлом
железный человек
Остров проклятых
Одаренная
Начало
ПОМЕНЯТЬСЯ МЕСТАМИ
Между небом и землей
Побег из Шоушенка
Доктор Стрейндж
Отпуск за свой счет
Люди в черном
мемуары гейши
В погоне за счастьем
Это Грех
Ленин
Форд против Феррари
Зеленая книга
сериал Видеть.
Области тьмы
и в радости
По соображениям совести
Выживший
Кинооператор (1922г. Бастер Китон)
Ошибка времени
Пираты карибского моря
Форрест Гамп
начало
Хоббит
постучись в мою дверь
Подозрительные лица
Области тьмы
Пираты карибского моря
который вылез в окно и исчез
Последняя дуэль (2021)
Легенда
Старший сын
Служебный роман
начало
Пятая волна
Во все тяжкие
Дом Гучи
дурак
Бойцовский клуб
Свой среди чужих…
Начало
большая игра
Шоу Трумана
Запах женщины
Влюблённый богач 2020 г.
Призрачная красота
Грязь по книге И. Уэлша
Интерстеллар
Сыщик
Эйфель
После прочтения сжечь
Три билборда
зеленая миля
Интерстеллар
УОЛЛ-СТРИТ
Где находится нофелет и др.
Телохранитель жены киллера
За спичками
Остров Проклятых
Breaking News
Джузеппе Москати: Исцеляющая любовь.
Аватар
Иди и смотри
Типа крутые легавые
триггер
Человек с Земли
Как избежать наказания за убийство
Зеленая миля
Раздражительность (2018)
Золото
Ностальгия
душа
Код Да Винчи
зелёная миля
Офицеры
Труффальдино
Превосходство
идеальные незнакомцы
Драйв
отечественные старые фильмы
Смелость быть диким 2015 г.
Бойфренд из будущего
Дьявол носит Prada
Зеркало Тарковского
чудо на гудзоне
Крупная рыба
Аллея кошмаров
Красотка
Основатель
Молодой папа
Пианино
Как Витька Чеснок вёз Лёху Штыря в дом инвалидов (2017)
Мотылёк
Сталкер
Ангелы и демоны
отель Гранд Будапешт
Игра разума
Лев
Судья
Век Адалин
Персона Бергмана
Вальдо
Однажды в Голливуде
Калина красная (1973)
все фильмы Тарантино
Инферно и т.п.
сыщик
Властелин колец
Трасса 60
Шерлок (сериал 2010 – 2017)
Гордость и предубеждение 2005г.
Джентльмены
Человек дождя
12 разгневанных мужчин (1957)
Поймай меня если сможешь
Аллея кошмаров 2021г.
Однажды в Америке etc ...
Что гложет Гилберта Гейса
Огни большого города (1931)
Отступники
Алиса в стране чудес
Гордость и предубеждение
Звезда
Вечное сияние чистого разума
